words,user_location
"['consultant', 'pediatrics', 'referral', 'hospital', 'f']",India
"['royal', 'middle', 'eastern', 'royalty', 'one', 'favorite']",Hollywood
"['aged', 'care', 'silence', 'via']",Everywhere
"['didnt', 'take', 'long', 'crew', 'cruise', 'ship', 'tested', 'positive', 'next', 'sai']",
"['minister', 'also', 'per', 'body', 'incentive', 'personnel', 'conduct', 'last']",India
"['new', 'song', 'quarantine', 'phenomenal', 'old', 'school', 'punk', 'love', 'quarantine']",anarchy ave.
"['several', 'strike']","Quito, Ecuador"
"['clarity', 'support', 'guidance', 'left', 'waiting', 'wondering']",Melbourne Australia
"['according', 'state', 'war', 'room', 'report', 'august', 'last', 'days', 'per', 'mill']",
"['citizen', 'journalism']",Gates of Hell
"['really', 'need', 'public', 'service', 'announcement', 'drinking', 'household']",Florida
"['time', 'problem', 'getting', 'alive', 'problem', 'totally', 'knew', 'would', 'happen']",Mumbai
['body'],Midwest
"['country', 'successfully', 'first', 'vaccine', 'russia', 'vaccine']","Hyderabad, India"
"['shovel', 'big', 'enough', 'carry', 'fact', 'matter']",New Jersey
"['local', 'say', 'dont', 'let', 'slip', 'cut', 'stay', 'safe', 'keep', 'virus', 'still']",Port Harcourt Nigeria 
"['vital', 'maintenance', 'view', 'video', 'find']",Northern Ireland
"['sanitation', 'motivation', 'awareness', 'thinking', 'positivity', 'thats', 'good', 'thinking']",
"['matter', 'live', 'us', 'help', 'break', 'transmission']",
"['prayer', 'easy', 'get', 'prayer', 'meeting', 'platform', 'worship', 'grace']","England, United Kingdom"
"['talk', 'working', 'plan', 'pocket', 'via', 'wife', 'look']",NJ
"['another', 'disaster', 'hit', 'new']","Auckland, New Zealand"
"['strict', 'observance', 'health', 'work']",
"['curve', 'completely', 'dead', 'since', 'outbreak', 'unemployment', 'rate', 'shot', 'average', 'hourly', 'earnings']","Manhattan, NY"
"['said', 'past', 'one', 'month', 'number', 'gone', 'reduced']",India
"['hold', 'second', 'wave']",
"['give', 'best', 'gift', 'protect']","Karachi, Pakistan"
"['week', 'chad', 'mali']","Geneva, Switzerland"
"['warning', 'health', 'hazard']",United Kingdom
"['fell', 'pandemic', 'data', 'analysis']","Texas, USA"
"['authorized', 'first', 'serology', 'display', 'quantity', 'present']",USA
"['got', 'chair', 'thats', 'need', 'full', 'body', 'fat', 'burning', 'muscle', 'building', 'workout', 'go', 'wa']",Subscribe to my YT channel 👇
"['care', 'comment', 'massive', 'job', 'private', 'sector', 'national', 'cutting']",Planet Earth
"['put', 'dementia', 'ever', 'tell', 'walter', 'reed', 'medical', 'c']",
"['review', 'limited', 'time', 'offer', 'breakfast', 'island', 'per', 'night']",Hong Kong
"['displace', 'million', 'across', 'new', 'tool']",Málaga
"['wrong', 'ignore', 'allow', 'sport', 'relief', 'live', 'event', 'go', 'ahead', 'march']",United Kingdom
"['covid', 'tally', 'cross', 'mark', 'highest', 'spike', 'last']",India
"['calling', 'people', 'wearing', 'nurse', 'doctor', 'w']","Sydney, New South Wales"
"['whats', 'plan', 'b', 'theres', 'vaccine']","Philadelphia, Pennsylvania"
"['slogan', 'way', 'use', 'school']",
"['medicine', 'vaccine', 'demand', 'every', 'day']","Raipur, India"
"['currently', 'critical', 'condition', 'treatment']",Kingdom of Bahrain
"['say', 'need', 'ever', 'argue', 'job', 'provide', 'welfare']","Sydney, Australia"
"['wearing', 'mask', 'feel', 'trouble', 'breathing', 'put', 'least', 'fee']",
"['testing', 'status', 'update', 'stated', 'tested']",Jammu And Kashmir
"['stay', 'away', 'biggest', 'dish', 'world', 'view', 'canada', 'us', 'nice']",
"['media', 'arent', 'selfish', 'socially', 'wearing']",N.E USA
"['data', 'insight', 'needs', 'faster', 'ever', 'spoke']","London, England"
"['first', 'time', 'city', 'hall', 'since', 'march', 'theres', 'staff']","Edmonton, Alberta"
"['ahead', 'district', 'new', 'positive']",India
"['younger', 'dont', 'appear', 'transmit', 'easily', 'say']",
"['outbreak', 'latest', 'read']",Worldwide
"['one', 'best', 'defense', 'infectious', 'billion']",Democratic Republic of Congo
"['celebrate', 'player', 'time', 'made']",Nigeria
"['taking', 'wife', 'dinner', 'sitting', 'favorite', 'restaurant', 'eating', 'great', 'meal']",Pennsylvania
"['well', 'ur', 'last', 'assignment', 'friendly', 'country', 'china']","North-west Frontier, Pakistan"
"['august', 'source']",Nepal
"['stunning', 'proof', 'could', 'saved', 'us', 'jail']",
"['tana', 'comes', 'covid', 'funeral']",burgerking 
"['provide', 'testing', 'across', 'united', 'read', 'saying']","Raleigh, NC"
"['mansion', 'pool', 'party']",Worldwide (online & offline)
"['update', 'august', 'highest', 'number', 'last', 'world', 'new']",Chennai
"['today', 'self', 'cross', 'try', 'understand', 'hum', 'tweet', 'se']",
"['used', 'cough', 'cover', 'cover']",
"['yeah', 'sure', 'done']",Waiting in line like DMV
"['hope', 'coverage', 'therapy', 'needing', 'zinc', 'save']",Victoria BC
"['also', 'fail', 'understand', 'ward', 'even']",
"['new', 'confirmed', 'new', 'asymptomatic']","Beijing, China"
"['interesting', 'article', 'impact', 'perceptual', 'level', 'w']",Europe
"['instead', 'privately']",
"['know', 'copyright']","Dubai, United Arab Emirates"
"['truly', 'dont', 'understand', 'people', 'desperate', 'go', 'holiday', 'abroad', 'queue', 'traffic', 'get']",Lincs
"['like', 'discovered', 'cant', 'hide', 'eventually', 'run']","London, England"
"['symbol', 'fight', 'video', 'change', 'last']",New Delhi
"['union', 'minister', 'singh', 'also', 'met', 'discuss', 'dev']","New Delhi, India"
"['video', 'interview', 'fraud', 'used', 'money']",
"['breaking', 'new', 'known', 'positive']","Phoenix, AZ"
"['movie', 'away']",South Africa
"['science', 'medicine']","REPLACE all 338 #MPs 2019 Status Quo Must Go, Each Vote Counts ESPECIALLY Yours! @GodivaRides for #Canada 🇨🇦 #Patriots"
"['impacted', 'silence']",Bombay
"['address', 'recommend', 'public', 'delay', 'opening', 'virtual', 'learning']",United States
"['east', 'michigan', 'state', 'university', 'trying', 'sweep', 'ocean', 'back', 'broom']",Disrupters FC
"['investigation', 'care', 'outbreak', 'found', 'staff', 'working']",
"['mandatory', 'mask', 'many', 'since', 'curve', 'photography']","Bruxelles, Belgique"
"['election', 'virus', 'return']",
"['hardly', 'even', 'gotten', 'half', 'way', 'viral', 'game']",Singapore
